image_url,expected_result,labels,confidences
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ad6a37c150f79a16d8562ad83ac8510c_600.jpg,ログイン出来なさすぎてGoogle本社に来た,"[""label0"", ""label1"", ""label2""]","[0.65, 0.76, 0.58]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8e93489c2ab7c1ab4e07210fda9036ea_600.jpg,パンにすら耳があるのに！,"[""label0"", ""label1"", ""label2"", ""label3"", ""label4""]","[0.6, 0.8, 0.96, 0.9, 0.98]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/15c48f9f887c8c36a17603ef958870e9_600.jpg,10問目の質問に答えることが,"[""label0""]",[0.6]
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a308a12154690bc5048b71ac50e4e2e6_600.jpg,アマゾンのプライム無料期間,"[""label0"", ""label1"", ""label2"", ""label3""]","[0.71, 0.84, 0.58, 0.59]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/717b0ea91a2bfb2b07a5f73d57b60767_600.jpg,「人間の分際でこの我に餌やりなど100年早ﾓｸﾞﾓｸﾞﾓｸﾞﾓｸﾞ」,"[""label0"", ""label1"", ""label2""]","[0.58, 0.94, 0.77]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e0e25a48bd2d7881a963d621d01c156d_600.jpg,蒸気なサザエさん,"[""label0"", ""label1""]","[0.58, 0.94]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8ddf3d9ca5c68e0437462695bef55e44_600.jpg,「僕は真剣なんです！」と伝えたら「私もよ」と返事をもらえたが思ったのと違う,"[""label0"", ""label1"", ""label2"", ""label3""]","[0.99, 0.87, 0.84, 0.78]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a5390e5524a74b6967f00bef043fae80_600.jpg,各粒一斉にスタートしました！,"[""label0"", ""label1""]","[0.68, 0.84]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/7141b860624ef7e803f86aaec902b323_600.jpg,ワンオペなんです,"[""label0"", ""label1"", ""label2""]","[0.99, 0.94]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/88b6642c14bd0ca19510bab4295849d1_600.jpg,サンリオは退職しました。今は好きなことして生きてますよ。,"[""label0"", ""label1""]","[0.78, 0.34]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/655e3aba6381de4fa1ac184a032532ad_600.jpg,崖に埋めた捕虜,"[""label0""]","[0.94]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/162bf53295bef78532b99d717259cb61_600.jpg,なぁ、ヤマトって給料いいの？,"[""label0"", ""label1"", ""label2""]","[0.65, 0.76, 0.58]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e1b996c52c845d00fac782a33c5d3123_600.jpg,タンスの角「俺だって痛えよ！」,"[""label0"", ""label1""]","[0.58, 0.94]"
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/bcfb22e80c7c6774d0f265bdff7ca8eb_600.jpg,問題:「one」この単語を読みなさい。,"[""label0""]",[0.6]
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6021fda309eea5b4b67be129df0221a3_600.jpg,名探偵コナン第一話,"[""label0"", ""label1"", ""label2""]","[0.65, 0.76, 0.58]"
